#,Player,Team,Matches,Batting,Bowling,Fielding,Other,MOM #,Total
,Lasalle Lightning CC,,,,,,,,
199.0,Prince Kakadiya,WEUnited CC,14.0,308.0,40.0,70.0,50.0,1.0,468.0
,WEUnited CC,,,,,,,,
200.0,Jaspreet Singh,Punjab XI CC,13.0,45.0,300.0,70.0,50.0,1.0,465.0
,Punjab XI CC,,,,,,,,
201.0,Raghav Sharma,EOCC,12.0,-18.0,410.0,70.0,0.0,0.0,462.0
,EOCC,,,,,,,,
202.0,Malay Mehta,Windsor Lions CC,13.0,21.0,350.0,40.0,50.0,1.0,461.0
,Windsor Lions CC,,,,,,,,
203.0,Peter Anglican,Gujarat Super Lions,17.0,144.0,280.0,30.0,0.0,0.0,454.0
,Gujarat Super Lions,,,,,,,,
204.0,Waseem Arif,Windsor Dominion CC,9.0,275.0,120.0,50.0,0.0,0.0,445.0
,Windsor Dominion CC,,,,,,,,
205.0,Mandeep Sidhu,Windsor Tigers CC,12.0,-6.0,380.0,20.0,50.0,1.0,444.0
,Windsor Tigers CC,,,,,,,,
206.0,Simrat Buttar,Windsor Lions 2,14.0,164.0,210.0,70.0,0.0,0.0,444.0
,Windsor Lions 2,,,,,,,,
207.0,Anas Saqib,Alpha XI,12.0,250.0,60.0,130.0,0.0,0.0,440.0
,Alpha XI,,,,,,,,
208.0,Nisarg Pandya,Windsor Lancers CC,8.0,419.0,0.0,20.0,0.0,0.0,439.0
,Windsor Lancers CC,,,,,,,,
209.0,Hiren Patel,Gujarat Lions CC,12.0,376.0,0.0,60.0,0.0,0.0,436.0
,Gujarat Lions CC,,,,,,,,
210.0,Danish Siddiqui,Lasalle Lightning CC,10.0,396.0,-10.0,50.0,0.0,0.0,436.0
,Lasalle Lightning CC,,,,,,,,
211.0,Pujan Langadia,Optimist CC,13.0,325.0,10.0,100.0,0.0,0.0,435.0
,Optimist CC,,,,,,,,
212.0,ANKITKUMAR PATEL,Gujarat Super Lions,8.0,83.0,340.0,10.0,0.0,0.0,433.0
,Gujarat Super Lions,,,,,,,,
213.0,Sahil Lamba,Lasalle Lightning CC,9.0,52.0,300.0,20.0,50.0,1.0,422.0
,Lasalle Lightning CC,,,,,,,,
214.0,Hemant Bhardwaj,Underdogs CC,2.0,346.0,70.0,0.0,0.0,0.0,416.0
,Underdogs CC,,,,,,,,
215.0,Daniyaal Sohaib,Lasalle Lightning CC,12.0,181.0,190.0,40.0,0.0,0.0,411.0
,Lasalle Lightning CC,,,,,,,,
216.0,Anirudh Reddy R,Mavericks CC,13.0,130.0,230.0,50.0,0.0,0.0,410.0
,Mavericks CC,,,,,,,,
217.0,Sukhkirat Singh,FSC WINDSOR,6.0,329.0,60.0,20.0,0.0,0.0,409.0
,FSC WINDSOR,,,,,,,,
218.0,Omesh Reddy Anantha,Street Strikers,8.0,288.0,0.0,120.0,0.0,0.0,408.0
,Street Strikers,,,,,,,,
219.0,Bilal Qamar,Optimist CC,10.0,71.0,290.0,40.0,0.0,0.0,401.0
,Optimist CC,,,,,,,,
220.0,Surya Manchala,Renegades CC,9.0,266.0,0.0,130.0,0.0,0.0,396.0
,Renegades CC,,,,,,,,
221.0,Muhammad Harris,Lasalle Lightning CC,14.0,234.0,0.0,160.0,0.0,0.0,394.0
,Lasalle Lightning CC,,,,,,,,
222.0,Shahryar Ahmad,Windsor Lions CC,6.0,33.0,350.0,10.0,0.0,0.0,393.0
,Windsor Lions CC,,,,,,,,
223.0,Vamsi krishna,Mavericks CC,6.0,160.0,190.0,40.0,0.0,0.0,390.0
,Mavericks CC,,,,,,,,
224.0,Jatin Bhalla,Chatham CC,7.0,60.0,270.0,60.0,0.0,0.0,390.0
,Chatham CC,,,,,,,,
225.0,Ruchit Patel,Gujarat Super Lions,5.0,368.0,0.0,20.0,0.0,0.0,388.0
,Gujarat Super Lions,,,,,,,,
226.0,Harpreet Singh,Windsor Warriors,13.0,338.0,0.0,50.0,0.0,0.0,388.0
,Windsor Warriors,,,,,,,,
227.0,Kush Patel,Vulcans CC,11.0,6.0,310.0,70.0,0.0,0.0,386.0
,Vulcans CC,,,,,,,,
228.0,Abhishek Tyagi,Underdogs CC,7.0,44.0,310.0,30.0,0.0,0.0,384.0
,Underdogs CC,,,,,,,,
229.0,Pradith Jayathi,Trophy Fighters,4.0,326.0,0.0,0.0,50.0,1.0,376.0
,Trophy Fighters,,,,,,,,
230.0,Rudra Chauhan,EOCC,8.0,154.0,190.0,30.0,0.0,0.0,374.0
,EOCC,,,,,,,,
231.0,Mehmood Hussain,Windsor Dominion CC,3.0,253.0,120.0,0.0,0.0,0.0,373.0
,Windsor Dominion CC,,,,,,,,
232.0,Amandeep Singh,Windsor Lions CC,16.0,313.0,10.0,50.0,0.0,0.0,373.0
,Windsor Lions CC,,,,,,,,
233.0,Manohar Reddy Anukuri,Chatham CC,10.0,86.0,240.0,40.0,0.0,0.0,366.0
,Chatham CC,,,,,,,,
234.0,Pruthiv Anke,Optimist CC,7.0,303.0,0.0,10.0,50.0,1.0,363.0
,Optimist CC,,,,,,,,
235.0,Keyur Italia,Gujarat Lions CC,12.0,280.0,0.0,80.0,0.0,0.0,360.0
,Gujarat Lions CC,,,,,,,,
236.0,Om Patel,Underdogs CC,3.0,209.0,80.0,20.0,50.0,1.0,359.0
,Underdogs CC,,,,,,,,
237.0,Pradith Jayanthi,Trophy Fighters,7.0,336.0,10.0,10.0,0.0,0.0,356.0
,Trophy Fighters,,,,,,,,
238.0,Piyush Parate,Windsor Dominion CC,9.0,355.0,-10.0,10.0,0.0,0.0,355.0
,Windsor Dominion CC,,,,,,,,
239.0,Ashar Badar,Chatham CC,10.0,325.0,0.0,30.0,0.0,0.0,355.0
,Chatham CC,,,,,,,,
240.0,Sandeep Panjeta,FSC WINDSOR,7.0,312.0,40.0,0.0,0.0,0.0,352.0
,FSC WINDSOR,,,,,,,,
241.0,Dhruv Mehta,Windsor Lions CC,12.0,277.0,0.0,70.0,0.0,0.0,347.0
,Windsor Lions CC,,,,,,,,
242.0,Dipen Bhatt,Gujarat Super Lions,9.0,33.0,250.0,60.0,0.0,0.0,343.0
,Gujarat Super Lions,,,,,,,,
243.0,Aarav Kuyeskar,EOCC,1.0,213.0,70.0,10.0,50.0,1.0,343.0
,EOCC,,,,,,,,
244.0,Parkash Bhullar,Windsor Warriors,8.0,9.0,300.0,30.0,0.0,0.0,339.0
,Windsor Warriors,,,,,,,,
245.0,Tapan Rao,Gujarat Super Lions,8.0,46.0,250.0,40.0,0.0,0.0,336.0
,Gujarat Super Lions,,,,,,,,
246.0,Zain Rafi,Optimist CC,15.0,276.0,20.0,40.0,0.0,0.0,336.0
,Optimist CC,,,,,,,,
247.0,Samuel Dsouza,Vulcans CC,2.0,134.0,130.0,20.0,50.0,1.0,334.0
,Vulcans CC,,,,,,,,
248.0,Saikishore Reddy Buddol,Street Strikers,8.0,312.0,0.0,20.0,0.0,0.0,332.0
,Street Strikers,,,,,,,,
249.0,Amrit Khuttan,FSC WINDSOR,4.0,270.0,40.0,20.0,0.0,0.0,330.0
,FSC WINDSOR,,,,,,,,
250.0,Sreenath Reddy,Mavericks CC,11.0,233.0,0.0,90.0,0.0,0.0,323.0
,Mavericks CC,,,,,,,,
251.0,Avi Patel,Chatham CC,13.0,33.0,230.0,60.0,0.0,0.0,323.0
,Chatham CC,,,,,,,,
252.0,Jasvir Bal,Punjab XI CC,10.0,161.0,130.0,30.0,0.0,0.0,321.0
,Punjab XI CC,,,,,,,,
253.0,Robin Robin,St.Clair College,7.0,299.0,0.0,20.0,0.0,0.0,319.0
,St.Clair College,,,,,,,,
254.0,Asok Sampath,Renegades X,10.0,-2.0,300.0,20.0,0.0,0.0,318.0
,Renegades X,,,,,,,,
255.0,Sivakumar Ilango,Renegades X,10.0,196.0,100.0,20.0,0.0,0.0,316.0
,Renegades X,,,,,,,,
256.0,Bhuvanesh Gokul,Renegades CC,14.0,184.0,50.0,80.0,0.0,0.0,314.0
,Renegades CC,,,,,,,,
257.0,Ammar Hussain,Windsor Dominion CC,3.0,234.0,80.0,0.0,0.0,0.0,314.0
,Windsor Dominion CC,,,,,,,,
258.0,Kshitij Punj,Punjab XI CC,10.0,88.0,180.0,40.0,0.0,0.0,308.0
,Punjab XI CC,,,,,,,,
259.0,Navjeevan Singh,Malik CC,5.0,137.0,130.0,40.0,0.0,0.0,307.0
,Malik CC,,,,,,,,
260.0,Akhil Kumar,Mavericks CC,12.0,97.0,80.0,130.0,0.0,0.0,307.0
,Mavericks CC,,,,,,,,
261.0,Srivatsan Vasudevan,Renegades CC,8.0,216.0,70.0,20.0,0.0,0.0,306.0
,Renegades CC,,,,,,,,
262.0,Murali Kakarla,Trophy Fighters,11.0,-7.0,270.0,40.0,0.0,0.0,303.0
,Trophy Fighters,,,,,,,,
263.0,Samanth Patel,Underdogs CC,10.0,40.0,170.0,90.0,0.0,0.0,300.0
,Underdogs CC,,,,,,,,
264.0,Sai Akhil,Trophy Fighters,15.0,198.0,0.0,100.0,0.0,0.0,298.0
,Trophy Fighters,,,,,,,,
265.0,Ali Maqbool,Lasalle Lightning CC,9.0,37.0,190.0,70.0,0.0,0.0,297.0
,Lasalle Lightning CC,,,,,,,,
266.0,Adil Shinwar,Windsor Lions CC,6.0,165.0,110.0,20.0,0.0,0.0,295.0
,Windsor Lions CC,,,,,,,,
267.0,Harsh Rao,Gujarat Super Lions,6.0,34.0,190.0,70.0,0.0,0.0,294.0
,Gujarat Super Lions,,,,,,,,
268.0,Sukh-e khosa,Windsor Dominion CC,8.0,74.0,210.0,10.0,0.0,0.0,294.0
,Windsor Dominion CC,,,,,,,,
269.0,Shafiuddin Khan,Malik CC,10.0,51.0,230.0,10.0,0.0,0.0,291.0
,Malik CC,,,,,,,,
270.0,Lenwin Dsilva,Lasalle Lightning CC,10.0,269.0,0.0,20.0,0.0,0.0,289.0
,Lasalle Lightning CC,,,,,,,,
271.0,Kashif Saeed,Windsor Lions CC,11.0,137.0,90.0,60.0,0.0,0.0,287.0
,Windsor Lions CC,,,,,,,,
272.0,Krunalkumar Chaudhari,Windsor Lancers CC,12.0,246.0,-10.0,50.0,0.0,0.0,286.0
,Windsor Lancers CC,,,,,,,,
273.0,Om Dakoriya,St.Clair College,8.0,200.0,60.0,20.0,0.0,0.0,280.0
,St.Clair College,,,,,,,,
274.0,Siva Krishna Meesala,Mavericks CC,4.0,238.0,40.0,0.0,0.0,0.0,278.0
,Mavericks CC,,,,,,,,
275.0,Nishant Padhiyar,WEUnited CC,8.0,247.0,10.0,20.0,0.0,0.0,277.0
,WEUnited CC,,,,,,,,
276.0,Deepan Dhingra,Windsor Tigers CC,7.0,249.0,0.0,20.0,0.0,0.0,269.0
,Windsor Tigers CC,,,,,,,,
277.0,Mohd Shajid,EOCC,9.0,108.0,160.0,0.0,0.0,0.0,268.0
,EOCC,,,,,,,,
278.0,Srikanth Poshala,Chatham CC,14.0,167.0,50.0,50.0,0.0,0.0,267.0
,Chatham CC,,,,,,,,
279.0,Samuel Sadayone,Mavericks CC,3.0,-3.0,210.0,10.0,50.0,1.0,267.0
,Mavericks CC,,,,,,,,
280.0,Devendra Cheema Singh,Malik CC,10.0,6.0,230.0,30.0,0.0,0.0,266.0
,Malik CC,,,,,,,,
281.0,Parthik Modi,Chatham CC,9.0,235.0,0.0,30.0,0.0,0.0,265.0
,Chatham CC,,,,,,,,
282.0,Abdul Rauf,Windsor Lions CC,10.0,64.0,190.0,10.0,0.0,0.0,264.0
,Windsor Lions CC,,,,,,,,
283.0,Maurice Crosdale,Cavaliers CC of Windsor,17.0,102.0,0.0,160.0,0.0,0.0,262.0
,Cavaliers CC of Windsor,,,,,,,,
284.0,Murali Vijay Wardpalli Shyam,St.Clair College,8.0,191.0,30.0,40.0,0.0,0.0,261.0
,St.Clair College,,,,,,,,
285.0,Waqas Ahmed,Malik CC,10.0,-11.0,260.0,10.0,0.0,0.0,259.0
,Malik CC,,,,,,,,
286.0,Sahil Dubey,Underdogs CC,6.0,67.0,180.0,10.0,0.0,0.0,257.0
,Underdogs CC,,,,,,,,
287.0,Pavittar Bhandal,FSC WINDSOR,6.0,157.0,80.0,20.0,0.0,0.0,257.0
,FSC WINDSOR,,,,,,,,
288.0,Anwar Hosen,Chatham CC,9.0,196.0,0.0,60.0,0.0,0.0,256.0
,Chatham CC,,,,,,,,
289.0,Yogesh Ghai,Windsor Tigers CC,8.0,212.0,0.0,40.0,0.0,0.0,252.0
,Windsor Tigers CC,,,,,,,,
290.0,Kushal Sarao,Windsor Royals CC,12.0,0.0,250.0,0.0,0.0,0.0,250.0
,Windsor Royals CC,,,,,,,,
291.0,Anuj Shukla,Trophy Fighters,7.0,-2.0,250.0,0.0,0.0,0.0,248.0
,Trophy Fighters,,,,,,,,
292.0,Inderjit Rehal,Cavaliers CC of Windsor,11.0,186.0,0.0,60.0,0.0,0.0,246.0
,Cavaliers CC of Windsor,,,,,,,,
293.0,Mohmmad Ali,Windsor Lancers CC,1.0,86.0,100.0,10.0,50.0,1.0,246.0
,Windsor Lancers CC,,,,,,,,
294.0,Azan Ali,Optimist CC,5.0,223.0,20.0,0.0,0.0,0.0,243.0
,Optimist CC,,,,,,,,
295.0,Hemanth Bethapudi,Mavericks CC,14.0,111.0,130.0,0.0,0.0,0.0,241.0
,Mavericks CC,,,,,,,,
296.0,Sony M,Trophy Fighters,5.0,111.0,130.0,0.0,0.0,0.0,241.0
,Trophy Fighters,,,,,,,,
297.0,Sahil Khan,Underdogs CC,6.0,128.0,80.0,30.0,0.0,0.0,238.0
,Underdogs CC,,,,,,,,
298.0,Sai Swaroop Angirekula,Windsor Lancers CC,8.0,205.0,0.0,30.0,0.0,0.0,235.0
,Windsor Lancers CC,,,,,,,,
299.0,Jagtar Kaler,FSC WINDSOR,8.0,133.0,0.0,100.0,0.0,0.0,233.0
,FSC WINDSOR,,,,,,,,
300.0,Karthikeyan Kaliyappan,Renegades CC,12.0,0.0,230.0,0.0,0.0,0.0,230.0
,Renegades CC,,,,,,,,
301.0,Mario Brown,Chatham CC,5.0,29.0,180.0,20.0,0.0,0.0,229.0
,Chatham CC,,,,,,,,
302.0,Lovepreet Singh,St.Clair College,6.0,47.0,140.0,40.0,0.0,0.0,227.0
,St.Clair College,,,,,,,,
303.0,Towhid Chowdhury,Malik CC,14.0,206.0,0.0,20.0,0.0,0.0,226.0
,Malik CC,,,,,,,,
304.0,Ravi Patel,Windsor Dominion CC,11.0,166.0,-20.0,80.0,0.0,0.0,226.0
,Windsor Dominion CC,,,,,,,,
305.0,Rohang Soni,Gujarat Super Lions,9.0,183.0,0.0,40.0,0.0,0.0,223.0
,Gujarat Super Lions,,,,,,,,
306.0,Talwinder Singh,EOCC,13.0,41.0,140.0,40.0,0.0,0.0,221.0
,EOCC,,,,,,,,
307.0,Nasser Malik,Malik CC,2.0,87.0,90.0,40.0,0.0,0.0,217.0
,Malik CC,,,,,,,,
308.0,Zain Ul Abdin,Windsor Dominion CC,3.0,97.0,100.0,20.0,0.0,0.0,217.0
,Windsor Dominion CC,,,,,,,,
309.0,Bhalaji Sadagopa Ramanujam,Renegades X,10.0,-4.0,140.0,80.0,0.0,0.0,216.0
,Renegades X,,,,,,,,
310.0,Mohan K,Trophy Fighters,7.0,173.0,-20.0,60.0,0.0,0.0,213.0
,Trophy Fighters,,,,,,,,
311.0,Jamal Ansari,Lasalle Lightning CC,5.0,82.0,110.0,20.0,0.0,0.0,212.0
,Lasalle Lightning CC,,,,,,,,
312.0,Ruturajsinh Solanki,WEUnited CC,10.0,179.0,0.0,30.0,0.0,0.0,209.0
,WEUnited CC,,,,,,,,
313.0,Dinesh Pabba,Street Strikers,8.0,187.0,0.0,20.0,0.0,0.0,207.0
,Street Strikers,,,,,,,,
314.0,Ismail Khan,Windsor Warriors,7.0,96.0,90.0,20.0,0.0,0.0,206.0
,Windsor Warriors,,,,,,,,
315.0,Deekshit P,Trophy Fighters,7.0,-7.0,170.0,40.0,0.0,0.0,203.0
,Trophy Fighters,,,,,,,,
316.0,Bilal Tariq,Windsor Dominion CC,4.0,2.0,190.0,10.0,0.0,0.0,202.0
,Windsor Dominion CC,,,,,,,,
317.0,Dushyant Joshi,Windsor Lancers CC,7.0,11.0,180.0,10.0,0.0,0.0,201.0
,Windsor Lancers CC,,,,,,,,
318.0,Sai Gokul,Lasalle Lightning CC,3.0,180.0,0.0,20.0,0.0,0.0,200.0
,Lasalle Lightning CC,,,,,,,,
319.0,Dharmesh Sakhiya,Gujarat Lions CC,13.0,89.0,0.0,110.0,0.0,0.0,199.0
,Gujarat Lions CC,,,,,,,,
320.0,Piyush Kapoor,EOCC,6.0,127.0,50.0,20.0,0.0,0.0,197.0
,EOCC,,,,,,,,
321.0,Rohan R,Trophy Fighters,12.0,53.0,60.0,80.0,0.0,0.0,193.0
,Trophy Fighters,,,,,,,,
322.0,Gagandeep Grewal,Windsor Tigers CC,15.0,82.0,0.0,110.0,0.0,0.0,192.0
,Windsor Tigers CC,,,,,,,,
323.0,⁠krishna Vamsi Mudumunthala,Street Strikers,7.0,81.0,70.0,40.0,0.0,0.0,191.0
,Street Strikers,,,,,,,,
324.0,Riyaz Khan,Chatham CC,5.0,40.0,100.0,50.0,0.0,0.0,190.0
,Chatham CC,,,,,,,,
325.0,Ankur Patel,WEUnited CC,4.0,0.0,180.0,10.0,0.0,0.0,190.0
,WEUnited CC,,,,,,,,
326.0,Kalpit Patel,Windsor Dominion CC,10.0,148.0,0.0,40.0,0.0,0.0,188.0
,Windsor Dominion CC,,,,,,,,
327.0,Gursaharn Singh Dhami,Underdogs CC,4.0,148.0,20.0,20.0,0.0,0.0,188.0
,Underdogs CC,,,,,,,,
328.0,Vashisth U,Underdogs CC,1.0,182.0,0.0,0.0,0.0,0.0,182.0
,Underdogs CC,,,,,,,,
329.0,Tejinder Singh,Windsor Lions 2,8.0,1.0,160.0,20.0,0.0,0.0,181.0
,Windsor Lions 2,,,,,,,,
330.0,Asif Mohammed Shaik,Street Strikers,8.0,-9.0,170.0,20.0,0.0,0.0,181.0
,Street Strikers,,,,,,,,
331.0,Tilak Patel,Gujarat Lions CC,10.0,6.0,130.0,40.0,0.0,0.0,176.0
,Gujarat Lions CC,,,,,,,,
332.0,Kamal Saeed Raja,Lasalle Lightning CC,4.0,6.0,150.0,20.0,0.0,0.0,176.0
,Lasalle Lightning CC,,,,,,,,
333.0,Aryan Kohli,St.Clair College,4.0,55.0,100.0,20.0,0.0,0.0,175.0
,St.Clair College,,,,,,,,
334.0,Urvil Desai,Gujarat Super Lions,8.0,103.0,20.0,50.0,0.0,0.0,173.0
,Gujarat Super Lions,,,,,,,,
335.0,Ankur Patel,Gujarat Lions CC,7.0,171.0,0.0,0.0,0.0,0.0,171.0
,Gujarat Lions CC,,,,,,,,
336.0,Sandeep Singh Panjeta,Renegades X,5.0,171.0,0.0,0.0,0.0,0.0,171.0
,Renegades X,,,,,,,,
337.0,Meet Patel,St.Clair College,5.0,77.0,70.0,20.0,0.0,0.0,167.0
,St.Clair College,,,,,,,,
338.0,Nishant Chauhan,Windsor Dominion CC,5.0,186.0,-20.0,0.0,0.0,0.0,166.0
,Windsor Dominion CC,,,,,,,,
339.0,Bakht Jamal,Lasalle Lightning CC,11.0,12.0,0.0,150.0,0.0,0.0,162.0
,Lasalle Lightning CC,,,,,,,,
340.0,Eniyavan Subramanian,Renegades X,4.0,0.0,100.0,10.0,50.0,1.0,160.0
,Renegades X,,,,,,,,
341.0,Perry Isidore,Cavaliers CC of Windsor,3.0,160.0,0.0,0.0,0.0,0.0,160.0
,Cavaliers CC of Windsor,,,,,,,,
342.0,Qasim Riaz Ahmed,WEUnited CC,3.0,100.0,60.0,0.0,0.0,0.0,160.0
,WEUnited CC,,,,,,,,
343.0,Harjot Singh,Windsor Tigers CC,5.0,8.0,130.0,20.0,0.0,0.0,158.0
,Windsor Tigers CC,,,,,,,,
344.0,Varsil Shah,Gujarat Lions CC,10.0,25.0,100.0,30.0,0.0,0.0,155.0
,Gujarat Lions CC,,,,,,,,
345.0,Harshil Prajapati,Windsor Royals CC,7.0,34.0,0.0,120.0,0.0,0.0,154.0
,Windsor Royals CC,,,,,,,,
346.0,Vaibhav Ajjarapu,Street Strikers,7.0,-6.0,110.0,50.0,0.0,0.0,154.0
,Street Strikers,,,,,,,,
347.0,Yogesh Mittal,Underdogs CC,2.0,-7.0,140.0,20.0,0.0,0.0,153.0
,Underdogs CC,,,,,,,,
348.0,Tushar Shi,EOCC,4.0,112.0,20.0,20.0,0.0,0.0,152.0
,EOCC,,,,,,,,
349.0,Vikram Kovvuri,Mavericks CC,8.0,32.0,110.0,10.0,0.0,0.0,152.0
,Mavericks CC,,,,,,,,
350.0,Waqas Ahmed,Alpha XI,3.0,10.0,130.0,10.0,0.0,0.0,150.0
,Alpha XI,,,,,,,,
351.0,Debanjan Banik,Vulcans CC,11.0,129.0,0.0,20.0,0.0,0.0,149.0
,Vulcans CC,,,,,,,,
352.0,Neel Patel,EOCC,14.0,76.0,0.0,70.0,0.0,0.0,146.0
,EOCC,,,,,,,,
353.0,Siva Sreekanth,Renegades X,7.0,124.0,-20.0,40.0,0.0,0.0,144.0
,Renegades X,,,,,,,,
354.0,Rajandeep Malhi,Windsor Warriors,8.0,-8.0,0.0,150.0,0.0,0.0,142.0
,Windsor Warriors,,,,,,,,
355.0,Rasheem Kolangara,Renegades X,9.0,72.0,40.0,30.0,0.0,0.0,142.0
,Renegades X,,,,,,,,
356.0,Loganathan Soundarajan,Renegades X,5.0,-2.0,120.0,20.0,0.0,0.0,138.0
,Renegades X,,,,,,,,
357.0,Archit Singh,Renegades CC,2.0,137.0,0.0,0.0,0.0,0.0,137.0
,Renegades CC,,,,,,,,
358.0,Kartik Sharma,Alpha XI,6.0,117.0,0.0,20.0,0.0,0.0,137.0
,Alpha XI,,,,,,,,
359.0,Danial Malik,Windsor Dominion CC,9.0,126.0,0.0,10.0,0.0,0.0,136.0
,Windsor Dominion CC,,,,,,,,
360.0,Nikhil Kanchan,EOCC,1.0,106.0,0.0,30.0,0.0,0.0,136.0
,EOCC,,,,,,,,
361.0,Karan Shah,Windsor Lancers CC,10.0,65.0,-10.0,80.0,0.0,0.0,135.0
,Windsor Lancers CC,,,,,,,,
362.0,Arsh Khehra,FSC WINDSOR,5.0,132.0,0.0,0.0,0.0,0.0,132.0
,FSC WINDSOR,,,,,,,,
363.0,Akash Muralidharan,Super Chargers,7.0,-9.0,100.0,40.0,0.0,0.0,131.0
,Super Chargers,,,,,,,,
364.0,Yash Padhiar,EOCC,1.0,-10.0,110.0,30.0,0.0,0.0,130.0
,EOCC,,,,,,,,
365.0,Bijen Patel,Gujarat Lions CC,2.0,9.0,120.0,0.0,0.0,0.0,129.0
,Gujarat Lions CC,,,,,,,,
366.0,Pavan Rao Airneni,Trophy Fighters,11.0,47.0,50.0,30.0,0.0,0.0,127.0
,Trophy Fighters,,,,,,,,
367.0,Baljinder Kular,Lasalle Lightning CC,2.0,36.0,90.0,0.0,0.0,0.0,126.0
,Lasalle Lightning CC,,,,,,,,
368.0,Kamal Preet,Underdogs CC,2.0,64.0,50.0,10.0,0.0,0.0,124.0
,Underdogs CC,,,,,,,,
369.0,Akshit Rane,Gujarat Super Lions,7.0,74.0,0.0,50.0,0.0,0.0,124.0
,Gujarat Super Lions,,,,,,,,
370.0,Dhaval Patel,Gujarat Super Lions,14.0,53.0,60.0,10.0,0.0,0.0,123.0
,Gujarat Super Lions,,,,,,,,
371.0,Fahad Amin,Alpha XI,2.0,122.0,0.0,0.0,0.0,0.0,122.0
,Alpha XI,,,,,,,,
372.0,Suraj Sundarraj,Chatham CC,4.0,22.0,90.0,10.0,0.0,0.0,122.0
,Chatham CC,,,,,,,,
373.0,Sahibpreet Singh,Punjab XI CC,1.0,0.0,120.0,0.0,0.0,0.0,120.0
,Punjab XI CC,,,,,,,,
374.0,Kemar Allen,Cavaliers CC of Windsor,4.0,109.0,0.0,10.0,0.0,0.0,119.0
,Cavaliers CC of Windsor,,,,,,,,
375.0,Iqbal Sidhu,Punjab XI CC,8.0,117.0,0.0,0.0,0.0,0.0,117.0
,Punjab XI CC,,,,,,,,
376.0,Bilal Sohail,Optimist CC,3.0,117.0,0.0,0.0,0.0,0.0,117.0
,Optimist CC,,,,,,,,
377.0,Dhruv Kukadiya,Windsor Dominion CC,2.0,117.0,0.0,0.0,0.0,0.0,117.0
,Windsor Dominion CC,,,,,,,,
378.0,Sahil Dubey,Windsor Dominion CC,4.0,105.0,-10.0,20.0,0.0,0.0,115.0
,Windsor Dominion CC,,,,,,,,
379.0,Rajesh Reddy Pinnapureddy,Street Strikers,8.0,54.0,10.0,50.0,0.0,0.0,114.0
,Street Strikers,,,,,,,,
380.0,Badaruddin Khuhro,Windsor Dominion CC,15.0,102.0,-60.0,70.0,0.0,0.0,112.0
,Windsor Dominion CC,,,,,,,,
381.0,Bhupinder Singh Randhawa,FSC WINDSOR,8.0,102.0,0.0,10.0,0.0,0.0,112.0
,FSC WINDSOR,,,,,,,,
382.0,Muhammad Ali,Cavaliers CC of Windsor,11.0,-9.0,90.0,30.0,0.0,0.0,111.0
,Cavaliers CC of Windsor,,,,,,,,
383.0,Uttej Reddy,Windsor Royals CC,6.0,0.0,110.0,0.0,0.0,0.0,110.0
,Windsor Royals CC,,,,,,,,
384.0,Jahanzeb Khan,Lasalle Lightning CC,5.0,109.0,0.0,0.0,0.0,0.0,109.0
,Lasalle Lightning CC,,,,,,,,
385.0,Brahma Teja,Trophy Fighters,1.0,-2.0,110.0,0.0,0.0,0.0,108.0
,Trophy Fighters,,,,,,,,
386.0,Manan Thaker,FSC WINDSOR,6.0,76.0,0.0,30.0,0.0,0.0,106.0
,FSC WINDSOR,,,,,,,,
387.0,Sudhakar Reddy,Trophy Fighters,6.0,26.0,50.0,30.0,0.0,0.0,106.0
,Trophy Fighters,,,,,,,,
388.0,Priyanshu Ghetiya,Gujarat Super Lions,4.0,85.0,0.0,20.0,0.0,0.0,105.0
,Gujarat Super Lions,,,,,,,,
389.0,Xumair Hassan,Windsor Warriors,6.0,53.0,20.0,30.0,0.0,0.0,103.0
,Windsor Warriors,,,,,,,,
390.0,Jamal Ansari,WEUnited CC,3.0,111.0,-10.0,0.0,0.0,0.0,101.0
,WEUnited CC,,,,,,,,
391.0,Sandeep Reddy,Vulcans CC,11.0,19.0,30.0,50.0,0.0,0.0,99.0
,Vulcans CC,,,,,,,,
392.0,Maniraaj Senthil Nathan,Windsor Lancers CC,4.0,59.0,20.0,20.0,0.0,0.0,99.0
,Windsor Lancers CC,,,,,,,,
393.0,Adil Shahriyar,Optimist CC,8.0,58.0,20.0,20.0,0.0,0.0,98.0
,Optimist CC,,,,,,,,
394.0,Gaurav Sharma,Gujarat Super Lions,2.0,-4.0,100.0,0.0,0.0,0.0,96.0
,Gujarat Super Lions,,,,,,,,
395.0,Kaarthik Esakkidurai,Renegades X,7.0,36.0,50.0,10.0,0.0,0.0,96.0
,Renegades X,,,,,,,,
396.0,Sriharsha Kusuma,Windsor Lancers CC,6.0,96.0,0.0,0.0,0.0,0.0,96.0
,Windsor Lancers CC,,,,,,,,
397.0,Ghulam Samdani,Windsor Dominion CC,1.0,76.0,20.0,0.0,0.0,0.0,96.0
,Windsor Dominion CC,,,,,,,,
398.0,Abhirama Penubaka,Trophy Fighters,1.0,75.0,20.0,0.0,0.0,0.0,95.0
,Trophy Fighters,,,,,,,,
399.0,Rinshad K,Renegades X,7.0,14.0,60.0,20.0,0.0,0.0,94.0
,Renegades X,,,,,,,,
400.0,Nisarg Patel,EOCC,10.0,-16.0,80.0,30.0,0.0,0.0,94.0
,EOCC,,,,,,,,
