#,Player,Team,Matches,Batting,Bowling,Fielding,Other,MOM #,Total
,Windsor Lions 2,,,,,,,,
46.0,Surendar Thammineni,Super Chargers,17.0,507.0,740.0,70.0,0.0,0.0,1317.0
,Super Chargers,,,,,,,,
47.0,Ajith Rengaraj,Renegades CC,17.0,1233.0,0.0,60.0,0.0,0.0,1293.0
,Renegades CC,,,,,,,,
48.0,Sahas Ashwatha,Windsor Royals CC,19.0,570.0,580.0,100.0,0.0,0.0,1250.0
,Windsor Royals CC,,,,,,,,
49.0,Mac Lopes,Vulcans CC,15.0,547.0,570.0,50.0,50.0,1.0,1217.0
,Vulcans CC,,,,,,,,
50.0,Nirav Patel,Gujarat Lions CC,10.0,500.0,520.0,90.0,100.0,2.0,1210.0
,Gujarat Lions CC,,,,,,,,
51.0,Rahul Dua,Windsor Lions CC,17.0,636.0,460.0,60.0,50.0,1.0,1206.0
,Windsor Lions CC,,,,,,,,
52.0,Kranthi Ganapathiraju,Super Chargers,17.0,283.0,800.0,120.0,0.0,0.0,1203.0
,Super Chargers,,,,,,,,
53.0,Rashid Ahmad,Windsor Lions CC,17.0,955.0,210.0,30.0,0.0,0.0,1195.0
,Windsor Lions CC,,,,,,,,
54.0,Akram Shaik,Windsor Warriors,13.0,913.0,110.0,60.0,100.0,2.0,1183.0
,Windsor Warriors,,,,,,,,
55.0,Ranjot Basra,Alpha XI,13.0,628.0,420.0,60.0,50.0,1.0,1158.0
,Alpha XI,,,,,,,,
56.0,Yadhu Krishna,EOCC,14.0,887.0,70.0,90.0,100.0,2.0,1147.0
,EOCC,,,,,,,,
57.0,Manas Khurana,Windsor Lions 2,16.0,795.0,220.0,30.0,100.0,2.0,1145.0
,Windsor Lions 2,,,,,,,,
58.0,Nilkanth Patel,Gujarat Super Lions,16.0,828.0,180.0,80.0,50.0,1.0,1138.0
,Gujarat Super Lions,,,,,,,,
59.0,Gagandeep Singh,Windsor Lions 2,17.0,701.0,400.0,30.0,0.0,0.0,1131.0
,Windsor Lions 2,,,,,,,,
60.0,Areeb Haroon,Cavaliers CC of Windsor,14.0,142.0,850.0,30.0,100.0,2.0,1122.0
,Cavaliers CC of Windsor,,,,,,,,
61.0,Divyesh Patel,EOCC,17.0,972.0,130.0,20.0,0.0,0.0,1122.0
,EOCC,,,,,,,,
62.0,Dheemanth Manikonda,Windsor Royals CC,16.0,323.0,650.0,90.0,50.0,1.0,1113.0
,Windsor Royals CC,,,,,,,,
63.0,Manpreet Singh,Punjab XI CC,15.0,892.0,0.0,220.0,0.0,0.0,1112.0
,Punjab XI CC,,,,,,,,
64.0,Ram Mummareddy,Super Chargers,15.0,620.0,350.0,90.0,50.0,1.0,1110.0
,Super Chargers,,,,,,,,
65.0,Mohibullah Habibzai,Windsor Lions CC,13.0,209.0,750.0,90.0,50.0,1.0,1099.0
